title,link,floor,area,bedrooms,terrace,parking,price,price_with_vat,availability,project,phase,building_floors,building_type,energy_class,building_structure,building_status,completion_date,sector,neighborhood
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2520/,Etaj 12,"194,60 m²",3 dormitoare,"22,70 m²",3e,379.000 € + TVA,451.010 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2519/,Etaj 9,"62,80 m²",1 dormitor,"13,10 m²",1,144.200 € + TVA,171.598 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2518/,Etaj 9,"139,40 m²",3 dormitoare,"30,35 m²",2e,309.000 € + TVA,367.710 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2479/,Etaj 10,"83,10 m²",1 dormitor,"40,30 m²",1,158.600 € + TVA,188.734 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2478/,Etaj 10,"70,10 m²",1 dormitor,"16,65 m²",1,144.800 € + TVA,172.312 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2477/,Etaj 10,"69,80 m²",1 dormitor,"15,23 m²",1,170.000 € + TVA,202.300 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2476/,Etaj 10,"90,30 m²",2 dormitoare,"19,12 m²",1,223.500 € + TVA,265.965 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2475/,Etaj 10,"89,10 m²",2 dormitoare,"17,92 m²",1,221.500 € + TVA,263.585 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2474/,Etaj 10,"128,80 m²",3 dormitoare,"50,70 m²",2e,329.000 € + TVA,391.510 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2473/,Etaj 10,"136,40 m²",3 dormitoare,"48,24 m²",2e,326.000 € + TVA,387.940 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2472/,Etaj 10,"62,60 m²",1 dormitor,"12,07 m²",1,150.200 € + TVA,178.738 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2341/,Etaj 7,"62,60 m²",1 dormitor,"13,09 m²",1,130.707 € + TVA,155.541 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2340/,Etaj 7,"73,30 m²",1 dormitor,"16,48 m²",1,153.700 € + TVA,182.903 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks2339/,Etaj 7,"89,10 m²",2 dormitoare,"19,09 m²",1,200.200 € + TVA,238.238 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
