title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Cosmopolit Cantacuzino – schița apartament cu 3 camere apartament camere de la 136.65m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",230051,1684,3,136.652,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Alphaville Arena – schița apartament cu 1 camere apartament camere de la 39.18m2 - Korter.ro,Alphaville Arena,"str.Stadionului, 16(Bloc 3)",80520,2055,1,39.182,0,0,0
Coder Residence 3 – schița apartament cu 2 camere apartament camere de la 70.59m2 - Korter.ro,Coder Residence 3,"str.Plugarilor, 2M, Brașov(vila 3)",97500,1381,2,70.592,0,0,0
Transilvania Residence – schița apartament cu 4 camere apartament camere de la 201.27m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 3)",305000,1515,4,201.272,0,0,0
Valcom Residence Tractorul – schița apartament cu 3 camere apartament camere de la 88.34m2 - Korter.ro,Valcom Residence Tractorul,"str.Іoan Popasu, 23, zona Tractorul, Brașov(Bloc C1)",249000,2819,3,88.342,0,0,0
Lior By Casa Nobel – schița apartament cu 2 camere apartament camere de la 55.46m2 - Korter.ro,Lior By Casa Nobel,"str.Nicolae Labiș, 64, zona Tractorul, Brașov(B2)",96000,1731,2,55.462,0,0,0
Maurer Villas – schița apartament cu 3 camere apartament camere de la 69.3m2 - Korter.ro,Maurer Villas,"str.Ioan Popasu, 2, Brașov(Bloc V17)",0,0,3,69.32,0,0,0
Mountain View Residence – schița apartament cu 3 camere apartament camere de la 74.52m2 - Korter.ro,Mountain View Residence,"str.Calea Feldioarei, 32A, Brașov(Bloc 6)",120000,1610,3,74.522,0,0,0
Coresi Avantgerden – schița apartament cu 2 camere apartament camere de la 59.41m2 - Korter.ro,Coresi Avantgerden,"str.Zaharia Stancu, 1(Bloc 43)",0,0,2,59.412,0,0,0
Uno Brașov – schița apartament cu 2 camere apartament camere de la 61.9m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 4)",94143,1521,2,61.92,0,0,0
