title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Sun Rebreanu – schița apartament cu 1 camere apartament camere de la 34.87m2 - Korter.ro,Sun Rebreanu,"Iosif Albu 81C, zona Titan, Bucuresti(blocul)",43588,1250,1,34.872,0,0,0
Bellemonde – schița apartament cu Studio camere de la 54.8m2 - Korter.ro,Bellemonde,"Str.Vasile Alecsandri, Pipera, Ilfov",0,0,0,54.82,0,0,0
Marca Herastrau Residence﻿ – schița apartament cu 2 camere apartament camere de la 109.42m2 - Korter.ro,Marca Herastrau Residence﻿,"Intrarea Solzilor, 14-16, București(Corp A)",199218,1821,2,109.422,0,0,0
First Estates Pipera – schița apartament cu Studio camere de la 51.48m2 - Korter.ro,First Estates Pipera,"sos.Bucuresti Nord, 14D, zona Pipera, Bucureşti(bloc 2)",110000,2137,0,51.482,0,0,0
Nusco City – schița apartament cu 2 camere apartament camere de la 68.0m2 - Korter.ro,Nusco City,"șos.Pipera, 48, București(Bloc 3)",132000,1941,2,682,0,0,0
La Cittadella Garden – schița apartament cu 3 camere apartament camere de la 66.0m2 - Korter.ro,La Cittadella Garden,"str.Apeductului 1, zona Militari, sector 6, București(Bloc 3)",50000,758,3,662,0,0,0
Atlas Residence - Aviației – schița apartament cu 2 camere apartament camere de la 77.68m2 - Korter.ro,Atlas Residence - Aviației,"șos.Pantelimon, 266, Pantelimon, București(Atlas Residence - Aviației)",120090,1546,2,77.682,0,0,0
Pollux Residence – schița apartament cu Garsonieră camere de la 37.0m2 - Korter.ro,Pollux Residence,"str.Ion Luca Caragiale, 72(bloc 5)",32000,865,0,372,0,0,0
Confort Urban Park Residence – schița apartament cu Garsonieră camere de la 42.12m2 - Korter.ro,Confort Urban Park Residence,"șos.Salaj, 383(bloc 14 f4)",51900,1232,0,42.122,0,0,0
CATTED Family – schița apartament cu 2 camere apartament camere de la 82.7m2 - Korter.ro,CATTED Family,"șos.București Nord 14C, Voluntari, Ilfov",0,0,2,82.72,0,0,0
HILS Splai – schița apartament cu Studio camere de la 56.27m2 - Korter.ro,HILS Splai,"str.Cheiul Dâmboviței 22, Bucureşti",63000,1120,36,56.272,etajdin 7,0,0
Dream Residence – schița apartament cu Garsonieră camere de la 41.3m2 - Korter.ro,Dream Residence,"șos.Sălaj, 347-355, zona Sălaj, Sector 5, București(Bloc 11)",53900,1305,0,41.32,0,0,0
Apollo Residence Pasarela Berceni – schița apartament cu Studio camere de la 39.45m2 - Korter.ro,Apollo Residence Pasarela Berceni,"str.Popești Leordni Vest, 94, Popești-Leordeni(blocul)",57620,1461,0,39.452,0,0,0
Top House Residence Metalurgiei – schița apartament cu Garsonieră camere de la 54.76m2 - Korter.ro,Top House Residence Metalurgiei,"Drumul Binelui, zona Berceni, Sector 4, București(Bloc 3)",68095,1244,0,54.762,0,0,0
Rodin Residence Piersicului – schița apartament cu Garsonieră camere de la 35.26m2 - Korter.ro,Rodin Residence Piersicului,"str Piersicului nr.14, zona Colentina, Bucuresti(corp 1)",29164,827,0,35.262,0,0,0
Noble Piatra Craiului – schița apartament cu 2 camere apartament camere de la 59.8m2 - Korter.ro,Noble Piatra Craiului,"str.Piatra Craiului, 35",140400,2348,2,59.82,0,0,0
Amesa Residence – schița apartament cu Studio camere de la 40.3m2 - Korter.ro,Amesa Residence,"str.Caporal Grigore Marin, 10, Bucuresti(Imobil)",61500,1526,0,40.32,0,0,0
Zeletin Residence Baneasa – schița apartament cu 2 camere apartament camere de la 94.5m2 - Korter.ro,Zeletin Residence Baneasa,"str.Zeletin, 14, zona Baneasa, Bucuresti(imobil)",0,0,2,94.52,0,0,0
Avalon Estate – schița apartament cu Studio camere de la 45.77m2 - Korter.ro,Avalon Estate,"bd.Pipera, 1/8, zona Pipera(A1b)",85650,1871,0,45.772,0,0,0
Marmura Residence – schița apartament cu Studio camere de la 43.4m2 - Korter.ro,Marmura Residence,"bd.Bucureștii Noi, 25(Bloc A)",97600,2249,0,43.42,0,0,0
Lead Grigorescu 103 – schița apartament cu 2 camere apartament camere de la 62.0m2 - Korter.ro,Lead Grigorescu 103,"bd.Nicolae Grigorescu, 103, Bucuresti(bloc)",84400,1361,2,622,0,0,0
Metropolitan Viilor – schița apartament cu 2 camere apartament camere de la 70.56m2 - Korter.ro,Metropolitan Viilor,"șos.Viilor, 57, zona Filaret, Sector 5, București(Metropolitan Viilor)",97000,1375,2,70.562,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 46.0m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,462,0,0,0
Marmura Residence – schița apartament cu 2 camere apartament camere de la 61.4m2 - Korter.ro,Marmura Residence,"bd.Bucureștii Noi, 25(Bloc E)",104439,1701,2,61.42,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 55.35m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,55.352,0,0,0
Lake House 2 – schița apartament cu 2 camere apartament camere de la 69.69m2 - Korter.ro,Lake House 2,"str.Amilcar C.Săndulescu, 6-10, București(Tronson B)",107000,1535,2,69.692,0,0,0
Transparent Residence 3 – schița apartament cu 2 camere apartament camere de la 47.32m2 - Korter.ro,Transparent Residence 3,"str.Sergent Ilie Petre, 100, Chiajna, Ilfov",52052,1100,2,47.322,0,0,0
Rezervelor 60 View Residence – schița apartament cu 1 camere apartament camere de la 36.57m2 - Korter.ro,Rezervelor 60 View Residence,"str.Rezervelor, 60BIS, Chiajna(Bloc 2)",40850,1117,1,36.572,0,0,0
Premium Town Residence – schița apartament cu 2 camere apartament camere de la 59.35m2 - Korter.ro,Premium Town Residence,șos.Dudești Pantelimon 42(bloc),89025,1500,2,59.352,0,0,0
Tunari Case Concept – schița apartament cu 2 camere apartament camere de la 65.6m2 - Korter.ro,Tunari Case Concept,"str.Intrarea Pădurii, Tunari(Case Green Forest)",75440,1150,2,65.62,0,0,0
Encore Apartments – schița apartament cu Garsonieră camere de la 41.4m2 - Korter.ro,Encore Apartments,"str.Alunului, 90, Bragadiru, Ilfov(imobil)",41999,1014,0,41.42,0,0,0
Cartierul Scriitorilor – schița apartament cu 2 camere apartament camere de la 59.65m2 - Korter.ro,Cartierul Scriitorilor,"Drumul Ciorogârla, 199-203, București(Bloc 1)",0,0,2,59.652,0,0,0
HILS Brauner – schița apartament cu Garsonieră camere de la 37.64m2 - Korter.ro,HILS Brauner,"str.Victor Brauner, 40, Bucureşti(Bloc 1)",58000,1541,0,37.642,0,0,0
Win Herastrau – schița apartament cu 2 camere apartament camere de la 68.0m2 - Korter.ro,Win Herastrau,"Șoseaua Nordului, 96Z(Bloc 5)",179900,2646,2,682,0,0,0
Como Park – schița apartament cu Garsonieră camere de la 55.0m2 - Korter.ro,Como Park,"șos, Virtutii, 56, zona Politehnica, Bucuresti(bloc A)",95000,1727,0,552,0,0,0
Akcent City – schița apartament cu Garsonieră camere de la 47.59m2 - Korter.ro,Akcent City,"str.Navigatiei, 2A, zona Bucurestii Noi, Bucuresti(Bloc 5)",79000,1660,0,47.592,0,0,0
Avangarde City 2 – schița apartament cu 1 camere apartament camere de la 42.0m2 - Korter.ro,Avangarde City 2,"str.Tineretului, 17(Bloc 5(scara a))",32900,783,1,422,0,0,0
