title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Sky Boulevard – schița apartament cu 3 camere apartament camere de la 91.66m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",197069,2150,3,91.662,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 3 camere apartament camere de la 100.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",223000,2230,3,1002,0,0,0
Avella – schița apartament cu 3 camere apartament camere de la 75.78m2 - Korter.ro,Avella,"str.21 decembrie 1989, Cluj -Napoca(Scara 2)",0,0,3,75.782,0,0,0
West City Tower – schița apartament cu 1 camere apartament camere de la 53.97m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,1,53.972,0,0,0
Baciu Hills – schița apartament cu 3 camere apartament camere de la 53.88m2 - Korter.ro,Baciu Hills,"str.Galaxiei, 9, Cluj-Napoca(Bloc 1)",0,0,3,53.882,0,0,0
Solaris Eden – schița apartament cu 3 camere apartament camere de la 69.74m2 - Korter.ro,Solaris Eden,"str.Horea, 33, Cluj-Napoca(Solaris Eden)",153500,2201,3,69.742,0,0,0
Dunarii Park Apartments – schița apartament cu 2 camere apartament camere de la 56.55m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,2,56.552,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 54.08m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",116272,2150,2,54.082,0,0,0
Wings – schița apartament cu Penthouse camere de la 127.0m2 - Korter.ro,Wings,"str.Frunzisului, 88A, Cluj-Napoca(Corp 1)",241300,1900,0,1272,0,0,0
M-Avenue – schița apartament cu 3 camere apartament camere de la 74.06m2 - Korter.ro,M-Avenue,"str.Teodor Mihali,45-51,zona Între Lacuri,Cluj-Napoca(M-Avenue)",0,0,3,74.062,0,0,0
Dunarii Park Apartments – schița apartament cu 2 camere apartament camere de la 54.28m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,2,54.282,0,0,0
Zenia – schița apartament cu 3 camere apartament camere de la 69.55m2 - Korter.ro,Zenia,"str.Tasnad, 9, zona Plopilor, Cluj-Napoca(scara 2)",186500,2682,3,69.552,0,0,0
West City Tower – schița apartament cu 2 camere apartament camere de la 87.99m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,2,87.992,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 2 camere apartament camere de la 90.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",167000,1856,2,902,0,0,0
